X,block_number,block_transaction_count,block_size,block_gas_used,miners_label
3046,3906961,38,5061,4586996,poolgpu
3054,3906962,0,533,0,f2pool
3055,3906963,40,5371,4699105,poolgpu
3059,3906964,44,5602,4693904,ethermine
3060,3906965,63,7506,1346228,ethermine
3063,3906966,8,1419,179405,ethermine
3064,3906967,151,17532,3402381,ethermine
3073,3906968,7,1314,148000,ethermine
3078,3906969,43,6694,4703264,ethfans.org
3079,3906970,24,3188,515917,ethermine
3080,3906971,29,4844,4623491,ethfans.org
3084,3906972,38,4842,4696213,Nanopool
3087,3906973,22,3608,4709814,ethermine
3088,3906974,38,5795,4618129,Ethpool_2
3089,3906975,30,4345,4681440,ethfans.org
3099,3906976,38,5106,4649808,ethfans.org
3100,3906977,179,23583,4706282,ethermine
3110,3906978,185,21122,4377839,ethermine
3116,3906979,31,5331,4697447,DwarfPool1
3120,3906980,29,3978,4701900,ethfans.org
3121,3906981,37,5977,4698164,ethfans.org
3124,3906982,20,3032,4686770,ethermine
3125,3906983,33,6335,4639342,Nanopool
3126,3906984,39,5048,4586202,ethermine
3127,3906985,0,533,0,f2pool
3128,3906986,51,6456,4711812,DwarfPool1
3129,3906987,123,14447,2625379,f2pool
3136,3906988,4,1572,115265,f2pool
3137,3906989,183,21663,4697092,waterhole
3151,3906990,38,5782,4627890,Nanopool
3152,3906991,1,646,21000,f2pool
3153,3906992,0,533,0,f2pool
3154,3906993,68,8572,4701628,ethfans.org
3157,3906994,40,5691,4693922,f46cb
3160,3906995,221,24927,4711490,ethermine
3165,3906996,43,5542,4706773,ethermine
3166,3906997,37,4784,4654881,C0ea08A2d
3172,3906998,42,5343,915231,f2pool
3173,3906999,29,3894,4702749,ethfans.org
2795,3907000,37,5329,4680690,C0ea08A2d
2797,3907001,41,5674,4711815,ethfans.org
2801,3907002,1,708,52265,f2pool
2802,3907003,0,533,0,f2pool
2803,3907004,217,25312,4670111,ethermine
2823,3907005,44,5701,4679558,C0ea08A2d
2826,3907006,40,5639,4658355,Coinotron
2827,3907007,23,3270,4670148,ethfans.org
2828,3907008,1,646,21000,f2pool
2829,3907009,138,17969,4708598,ethermine
2840,3907010,0,533,0,f2pool
2841,3907011,53,7198,4638879,ethfans.org
2850,3907012,38,5004,4585249,ethermine
2853,3907013,25,4080,4671924,ethermine
2856,3907014,198,22499,4218648,ethermine
2865,3907015,22,3088,4699820,ethfans.org
2866,3907016,27,3639,4695231,DwarfPool1
2867,3907017,6,1802,166329,f2pool
2868,3907018,25,3435,4709460,Nanopool
2869,3907019,2,820,73265,f2pool
2870,3907020,4,1055,96571,f2pool
2871,3907021,0,533,0,f2pool
2872,3907022,52,7405,4605264,ethfans.org
2879,3907023,51,6428,4625522,C0ea08A2d
2889,3907024,48,6229,4699311,ethfans.org
2894,3907025,42,5403,4703407,ethfans.org
2899,3907026,41,5381,4700261,ethermine
2904,3907027,2,757,81000,f2pool
2906,3907028,0,533,0,f2pool
2907,3907029,46,5918,4694959,DwarfPool1
2910,3907030,217,24613,4694583,ethermine
2925,3907031,3,1466,112777,f2pool
2926,3907032,27,4204,4704464,ethermine
2930,3907033,212,24446,4659566,ethermine
2952,3907034,57,7278,1294750,waterhole
2959,3907035,52,7266,4631278,miningpoolhub_1
2964,3907036,214,24393,4666112,ethermine
2985,3907037,44,5957,4700874,Nanopool
2988,3907038,36,4703,4642490,Nanopool
2989,3907039,159,21645,4695868,a4aaf1d
3000,3907040,210,24087,4671764,ethermine
3016,3907041,42,5392,4625733,C0ea08A2d
3019,3907042,42,5387,4623439,ethermine
3020,3907043,37,4772,4566500,ethfans.org
3024,3907044,0,533,0,f2pool
3025,3907045,41,5148,4664421,ethermine
3032,3907046,39,4992,4632072,DwarfPool1
3033,3907047,49,6333,4614629,DwarfPool1
3034,3907048,40,5188,4630004,ethermine
3040,3907049,45,5858,4623572,C0ea08A2d
3041,3907050,42,5327,4699549,ethfans.org
3043,3907051,3,876,63000,f2pool
3044,3907052,38,4969,4624809,ethfans.org
3047,3907053,7,1315,276000,f2pool
3048,3907054,45,5817,4676721,a9a926b
3065,3907055,61,7561,4671004,Nanopool
3071,3907056,3,873,63000,f2pool
3072,3907057,81,9636,4692934,Nanopool
3083,3907058,36,4783,4615409,ethermine
3090,3907059,11,1814,4702803,miningpoolhub_1
3091,3907060,43,5485,4684502,ethfans.org
3106,3907061,4,989,84000,f2pool
3107,3907062,215,24771,4683574,ethermine
3113,3907063,59,7584,4697561,Nanopool
3115,3907064,53,6688,4705882,ethfans.org
3118,3907065,2,764,42000,f2pool
3119,3907066,210,24009,4692054,ethermine
3130,3907067,38,4835,4691007,C0ea08A2d
3131,3907068,44,5972,4691136,ethermine
3140,3907069,1,649,200000,f2pool
3141,3907070,40,5129,4706515,Nanopool
3142,3907071,50,6612,4680813,ethfans.org
3146,3907072,34,4412,4658231,ethfans.org
3147,3907073,47,5899,4700008,ethfans.org
3155,3907074,43,5414,4703550,Nanopool
3156,3907075,47,5875,4592070,ethermine
3158,3907076,2,757,42000,f2pool
3159,3907077,216,24673,4697403,ethermine
3162,3907078,33,4426,4660861,DwarfPool1
3163,3907079,54,6794,4697999,DwarfPool1
3167,3907080,5,1094,183000,f2pool
3168,3907081,40,5222,4705179,ethfans.org
3169,3907082,40,5531,4609215,ethfans.org
3174,3907083,1,716,33571,f2pool
3175,3907084,0,533,0,f2pool
3176,3907085,41,5284,4622780,Coinotron
3177,3907086,37,4822,4537095,ethfans.org
3178,3907087,46,6386,4635671,poolgpu
3182,3907088,221,24971,4696170,ethermine
3185,3907089,39,5744,4704898,ethfans.org
3186,3907090,24,3283,4703184,9633814
3187,3907091,51,6316,4705362,Nanopool
3188,3907092,0,533,0,f2pool
3189,3907093,34,4460,4680461,C0ea08A2d
3192,3907094,2,828,93571,f2pool
3193,3907095,163,21435,4700304,ethermine
3197,3907096,25,3464,4647386,C0ea08A2d
3198,3907097,39,4998,4622328,Coinotron
3199,3907098,0,533,0,f2pool
3200,3907099,36,4623,4625678,DwarfPool1
3524,3907100,38,4912,4605858,ethermine
3531,3907101,221,24710,4698497,ethermine
3534,3907102,27,3596,4683884,Ethermine.ru
3539,3907103,39,5010,4690122,ethfans.org
3540,3907104,39,6012,4711489,DwarfPool1
3541,3907105,219,24548,4693150,ethermine
3548,3907106,42,5928,4673054,ethermine
3555,3907107,35,5608,4562697,C0ea08A2d
3563,3907108,212,24436,4661488,ethermine
3567,3907109,40,5101,4572180,ethermine
3568,3907110,37,4865,4598395,miningpoolhub_1
3569,3907111,221,24837,4692758,ethermine
3571,3907112,7,1458,250142,f2pool
3572,3907113,219,24685,4710250,ethermine
3579,3907114,32,4911,4691782,ethfans.org
3580,3907115,0,533,0,f2pool
3581,3907116,32,4274,4587086,poolgpu
3582,3907117,26,3528,4691161,ethermine
3583,3907118,36,5263,4628228,ethfans.org
3586,3907119,0,1060,0,f2pool
3587,3907120,43,5565,4623669,ethfans.org
3588,3907121,2,1385,80358,f2pool
3592,3907122,223,25047,4699970,ethermine
3598,3907123,36,4631,4626591,Coinotron
3599,3907124,7,1481,236929,f2pool
3600,3907125,0,520,0,miningpoolhub_1
3601,3907126,221,24938,4701721,ethermine
3614,3907127,27,3854,4711216,DwarfPool1
3615,3907128,212,24449,4698554,ethermine
3619,3907129,6,1212,165000,f2pool
3620,3907130,34,4430,4679288,DwarfPool1
3621,3907131,5,1093,291000,f2pool
3622,3907132,218,25122,4691039,ethermine
3628,3907133,6,1359,201111,f2pool
3632,3907134,46,5854,4708180,ethermine
3633,3907135,4,1168,162692,f2pool
3634,3907136,50,6845,4693410,ethfans.org
3635,3907137,39,4992,4686222,Nanopool
3636,3907138,6,1576,203329,f2pool
3637,3907139,27,3578,4701564,Nanopool
3638,3907140,39,5037,4594350,ethfans.org
3639,3907141,39,5051,4616429,ethermine
3643,3907142,45,7425,4659434,ethfans.org
3644,3907143,44,5757,4692737,ethermine
3645,3907144,47,6449,4657464,miningpoolhub_1
3646,3907145,40,5714,4663141,ethfans.org
3647,3907146,5,1193,197294,f2pool
3648,3907147,40,5230,4594965,DwarfPool1
3649,3907148,24,3246,572231,f2pool
3650,3907149,36,4635,4697488,Nanopool
3651,3907150,6,1212,444002,f2pool
3652,3907151,34,4385,4705423,miningpoolhub_1
3653,3907152,32,4157,4650428,Ethermine.ru
3654,3907153,44,6010,4687525,ethermine
3655,3907154,213,24540,4666866,ethermine
3656,3907155,221,25037,4709840,ethermine
3657,3907156,41,5242,4701974,Nanopool
3658,3907157,24,3425,4640583,C0ea08A2d
3659,3907158,45,5788,4611915,ethfans.org
3660,3907159,37,4817,4680055,Ethpool_2
3661,3907160,223,25192,4704727,ethermine
3662,3907161,24,3350,4583637,ethfans.org
3663,3907162,31,4048,4704292,Ethpool_2
3664,3907163,42,5393,4662600,ethfans.org
3665,3907164,40,5109,4666318,ethfans.org
3666,3907165,44,5626,4671832,Nanopool
3667,3907166,17,2459,370675,f2pool
3668,3907167,211,24325,4692134,ethermine
3669,3907168,44,5608,4634544,Nanopool
3670,3907169,171,21704,4710420,ethermine
3671,3907170,36,4717,4679075,ethermine
3672,3907171,216,24889,4706540,ethermine
3673,3907172,35,4565,4684333,miningpoolhub_1
3674,3907173,40,6329,4693744,DwarfPool1
3675,3907174,47,6105,4711525,Nanopool
3676,3907175,9,1743,284407,f2pool
3677,3907176,50,6281,4689153,DwarfPool1
3678,3907177,1,649,21000,f2pool
3679,3907178,39,5669,4711169,ethfans.org
3680,3907179,7,1399,4624622,ethfans.org
3681,3907180,5,1162,136329,f2pool
3682,3907181,40,5180,4705177,DwarfPool1
3683,3907182,217,24742,4703619,ethermine
3684,3907183,1,649,21000,f2pool
3685,3907184,35,4600,4698857,ethfans.org
3686,3907185,47,6699,4705253,ethfans.org
3687,3907186,222,25141,4702403,ethermine
3688,3907187,213,24560,4665441,ethermine
3689,3907188,42,5428,4602361,ethfans.org
3690,3907189,46,5928,4661847,ethfans.org
3691,3907190,31,4201,4604879,Nanopool
3692,3907191,106,13036,2325684,f2pool
3693,3907192,35,4545,4675244,ethermine
3694,3907193,44,5734,4711838,ethfans.org
3695,3907194,19,2688,408788,f2pool
3696,3907195,212,24344,4704163,ethermine
3697,3907196,217,25004,4707062,ethermine
3698,3907197,38,4948,4708524,ethermine
3699,3907198,12,1960,270427,f2pool
3700,3907199,3,874,63000,f2pool
3330,3907200,26,3544,4696644,Ethpool_2
3331,3907201,217,24777,4666934,ethermine
3347,3907202,17,2982,397966,f2pool
3348,3907203,41,5279,4695178,bitclubpool
3349,3907204,7,1329,377945,f2pool
3350,3907205,1,646,21000,f2pool
3354,3907206,37,4951,4689926,49deb4
3360,3907207,10,1667,289000,f2pool
3361,3907208,37,5092,4700377,ethfans.org
3362,3907209,2,760,81000,f2pool
3364,3907210,30,4053,4701589,Nanopool
3365,3907211,36,4906,4702003,Nanopool
3366,3907212,1,646,21000,f2pool
3367,3907213,1,648,21000,f2pool
3369,3907214,29,4504,4708247,DwarfPool1
3370,3907215,21,3080,4697756,ethfans.org
3371,3907216,28,4233,630911,f2pool
3372,3907217,35,4968,4694630,miningpoolhub_1
3373,3907218,27,6431,4632628,miningpoolhub_1
3374,3907219,0,520,0,miningpoolhub_1
3375,3907220,29,6452,4636514,C0ea08A2d
3377,3907221,41,5720,4686179,waterhole
3378,3907222,37,7494,4658250,C0ea08A2d
3379,3907223,34,4493,4622135,ethermine
3380,3907224,206,23452,4653931,ethermine
3396,3907225,214,24497,4666861,ethermine
3402,3907226,22,7362,1882274,f2pool
3404,3907227,146,16955,3232197,ethermine
3410,3907228,39,6883,4673672,ethfans.org
3414,3907229,19,2740,4707258,DwarfPool1
3415,3907230,10,1662,213702,f2pool
3416,3907231,11,1776,310966,f2pool
3419,3907232,40,7407,4649935,ethermine
3425,3907233,38,4903,4672538,Ethpool_2
3426,3907234,7,1381,148265,f2pool
3427,3907235,148,20896,4699816,ethermine
3430,3907236,108,12676,2318801,ethermine
3439,3907237,46,6716,4691741,Nanopool
3446,3907238,38,4966,4627174,Ethermine.ru
3447,3907239,0,520,0,miningpoolhub_1
3448,3907240,46,7783,4696491,ethermine
3449,3907241,39,5046,4690784,Coinotron
3455,3907242,24,4202,4666081,ethermine
3456,3907243,26,3465,4697903,Ethpool_2
3457,3907244,40,6009,4690442,bitclubpool
3465,3907245,23,3678,523966,f2pool
3466,3907246,1,646,21000,f2pool
3467,3907247,41,6514,4670013,ethfans.org
3468,3907248,23,3174,4691560,ethfans.org
3472,3907249,35,5579,4711587,ethermine
3474,3907250,23,3126,552901,f2pool
3475,3907251,1,649,21000,f2pool
3476,3907252,33,5894,4598350,Nanopool
3477,3907253,32,4311,4606982,miningpoolhub_1
3479,3907254,33,5375,4606655,miningpoolhub_1
3480,3907255,44,5665,4694348,ethermine
3484,3907256,43,5933,4660891,ethfans.org
3485,3907257,214,24654,4674318,ethermine
3487,3907258,37,5641,4619775,DwarfPool1
3488,3907259,37,4724,4535319,miningpoolhub_1
3489,3907260,142,16366,3081585,ethermine
3496,3907261,42,6318,4674164,Ethpool_2
3497,3907262,24,3842,4696468,ethermine
3503,3907263,18,2562,420932,f2pool
3504,3907264,34,5444,4693236,bitclubpool
3505,3907265,46,5902,4690788,ethfans.org
3507,3907266,2,759,42000,f2pool
3508,3907267,92,10948,2043183,ethermine
3511,3907268,0,533,0,f2pool
3512,3907269,31,5308,4635033,miningpoolhub_1
3513,3907270,3,876,83478,f2pool
3514,3907271,1,649,21000,f2pool
3515,3907272,36,6161,4687604,miningpoolhub_1
3516,3907273,33,4311,4623914,ethfans.org
3517,3907274,38,5807,4672114,ethermine
3520,3907275,22,10279,4689731,625a08
3521,3907276,6,1208,168866,f2pool
3522,3907277,6,1203,204000,f2pool
3523,3907278,41,6223,4653888,miningpoolhub_1
3525,3907279,6,1284,179537,f2pool
3526,3907280,40,5263,4703877,ethermine
3527,3907281,2,826,54571,f2pool
3528,3907282,23,3206,4711746,ethfans.org
3529,3907283,22,3034,4678600,ethermine
3530,3907284,58,7097,4706444,a4aaf1d
3535,3907285,28,3663,4713309,waterhole
3536,3907286,39,4935,4695760,DwarfPool1
3543,3907287,32,4206,4616385,ethfans.org
3544,3907288,214,24395,4696699,ethermine
3545,3907289,3,875,64968,f2pool
3546,3907290,39,4921,4653951,ethfans.org
3547,3907291,116,13539,2513024,ethermine
3549,3907292,45,6164,4694330,ea5da3
3552,3907293,40,5107,4671503,49deb4
3553,3907294,0,520,0,miningpoolhub_1
3554,3907295,29,4277,4627250,ethfans.org
3557,3907296,0,1051,0,miningpoolhub_1
3558,3907297,26,3549,4666727,a9a926b
3559,3907298,35,4506,4574993,ethfans.org
3562,3907299,3,1409,64900,f2pool
3401,3907300,153,17704,3405992,ethermine
3405,3907301,20,2801,449597,ethermine
3406,3907302,132,15573,2952966,f2pool
3407,3907303,53,6477,1168784,ethermine
3409,3907304,42,5335,4690796,ethfans.org
3413,3907305,125,14784,2626900,f2pool
3420,3907306,2,764,42000,f2pool
3421,3907307,49,6256,4705445,waterhole
3429,3907308,34,4404,4700066,C0ea08A2d
3435,3907309,23,3137,4649698,miningpoolhub_1
3436,3907310,40,5105,4581647,Ethpool_2
3437,3907311,34,4414,4661003,ethermine
3443,3907312,51,6547,4686507,poolgpu
3444,3907313,94,11249,1975966,f2pool
3453,3907314,111,13040,2469606,ethermine
3454,3907315,40,5294,4701963,miningpoolhub_1
3458,3907316,4,1518,163966,f2pool
3459,3907317,2,760,42000,f2pool
3460,3907318,0,533,0,f2pool
3461,3907319,91,10760,1967176,ethermine
3462,3907320,9,1723,320540,f2pool
3463,3907321,1,650,21000,f2pool
3464,3907322,37,4902,4648545,Ethpool_2
3471,3907323,37,4823,4576472,ethermine
3481,3907324,60,7620,4699157,Nanopool
3482,3907325,39,5323,4706366,miningpoolhub_1
3483,3907326,108,12700,2333066,ethermine
3486,3907327,34,4910,4585548,DwarfPool1
3490,3907328,103,20253,4696523,ethermine
3491,3907329,35,4535,4595759,Coinotron
3492,3907330,37,4824,4626411,miningpoolhub_1
3493,3907331,39,4956,4657668,miningpoolhub_1
3494,3907332,3,871,102000,f2pool
3495,3907333,30,3937,4627292,C0ea08A2d
3498,3907334,6,1209,4702000,ethfans.org
3499,3907335,40,5468,4653116,Nanopool
3500,3907336,10,2129,4708269,Nanopool
3501,3907337,4,986,255001,f2pool
3502,3907338,32,4212,4709872,ethermine
3506,3907339,40,5085,4702051,Nanopool
3509,3907340,3,964,121910,f2pool
3510,3907341,40,5104,4628143,ethfans.org
3518,3907342,105,12247,2281161,ethermine
3519,3907343,43,5631,4694133,ethermine
3532,3907344,40,5439,4695483,DwarfPool1
3533,3907345,206,24017,4628749,f2pool
3537,3907346,33,4338,4622265,Nanopool
3538,3907347,42,5420,4611647,Nanopool
3542,3907348,205,23900,4643419,f2pool
3550,3907349,37,5066,4691862,DwarfPool1
3551,3907350,81,20083,4698414,ethermine
3556,3907351,37,4785,4626857,C0ea08A2d
3560,3907352,39,4987,4621201,ethermine
3561,3907353,39,4950,4591470,ethfans.org
3564,3907354,43,5457,4703375,ethfans.org
3565,3907355,40,5104,4699702,DwarfPool1
3566,3907356,112,13200,2409074,ethermine
3570,3907357,94,11972,2146045,f2pool
3573,3907358,1,646,21000,f2pool
3574,3907359,40,5552,4703006,C0ea08A2d
3575,3907360,43,5527,4696292,ethfans.org
3576,3907361,3,967,82910,f2pool
3577,3907362,0,533,0,f2pool
3578,3907363,142,17287,3139292,ethermine
3584,3907364,39,5032,4669092,DwarfPool1
3585,3907365,23,6395,4697300,ethermine
3589,3907366,4,1048,100329,f2pool
3590,3907367,63,7608,1385841,ethermine
3591,3907368,4,981,93981,ethermine
3593,3907369,34,4389,4708360,DwarfPool1
3594,3907370,17,2415,387966,ethermine
3595,3907371,42,5663,4692016,Ethpool_2
3596,3907372,40,5258,4677368,ethfans.org
3597,3907373,41,5171,4656285,DwarfPool1
3602,3907374,3,876,63000,f2pool
3603,3907375,0,533,0,f2pool
3604,3907376,4,1610,103846,f2pool
3605,3907377,44,5701,4697099,ethermine
3606,3907378,0,533,0,f2pool
3607,3907379,38,4818,4706292,a4aaf1d
3608,3907380,3,872,102000,f2pool
3609,3907381,3,1459,118329,f2pool
3610,3907382,16,2439,4693838,miningpoolhub_1
3611,3907383,34,4394,4700781,ethermine
3612,3907384,40,5175,4665401,DwarfPool1
3613,3907385,41,5300,4696146,ethermine
3616,3907386,48,6140,4683284,ethfans.org
3617,3907387,31,4171,4693475,miningpoolhub_1
3618,3907388,86,10673,4619104,ethermine
3623,3907389,30,3957,4592874,DwarfPool1
3624,3907390,8,1592,217895,f2pool
3625,3907391,0,533,0,f2pool
3626,3907392,41,5696,4595985,DwarfPool1
3627,3907393,38,5013,4642297,ethermine
3629,3907394,40,5076,4699824,ethermine
3630,3907395,1,646,21000,f2pool
3631,3907396,215,24830,4678879,ethermine
3640,3907397,4,1234,184039,f2pool
3641,3907398,39,4957,4702760,ethfans.org
3642,3907399,42,5414,4575836,Ethpool_2
3201,3907400,48,7010,4612866,poolgpu
3202,3907401,84,18309,4704428,ethermine
3203,3907402,1,647,21000,f2pool
3204,3907403,38,5109,4673895,ethfans.org
3205,3907404,5,1879,204847,f2pool
3206,3907405,41,5153,4688440,ethermine
3207,3907406,38,4974,4686699,Nanopool
3208,3907407,27,3966,4697224,ethfans.org
3209,3907408,4,1167,154900,f2pool
3210,3907409,44,5525,4672777,ethfans.org
3211,3907410,1,650,21000,f2pool
3212,3907411,38,5068,4616911,DwarfPool1
3213,3907412,42,5381,4696789,bitclubpool
3214,3907413,43,5564,4582710,ethfans.org
3215,3907414,41,5187,4691878,C0ea08A2d
3216,3907415,37,4771,4602831,ethermine
3217,3907416,38,4816,4706268,miningpoolhub_1
3218,3907417,180,20745,4001013,ethermine
3219,3907418,0,520,0,miningpoolhub_1
3220,3907419,6,1448,234869,f2pool
3221,3907420,16,2326,337945,ethermine
3222,3907421,36,4623,4670211,ethermine
3223,3907422,34,4409,4607815,Ethpool_2
3224,3907423,1,739,39758,f2pool
3225,3907424,41,5397,4597692,ethermine
3226,3907425,0,533,0,f2pool
3227,3907426,40,5239,4704291,ethfans.org
3228,3907427,8,2296,296779,f2pool
3229,3907428,1,739,55846,f2pool
3230,3907429,74,8844,4689843,ethermine
3231,3907430,39,5054,4691769,Ethpool_2
3232,3907431,41,5365,4708079,Nanopool
3233,3907432,1,1186,21000,f2pool
3234,3907433,1,646,21000,f2pool
3235,3907434,35,4661,4693244,ethfans.org
3236,3907435,0,533,0,f2pool
3237,3907436,37,5302,4692152,ethfans.org
3238,3907437,22,3156,4606618,DwarfPool1
3239,3907438,5,1461,175130,f2pool
3240,3907439,38,4853,4642067,Coinotron
3241,3907440,2,760,42000,f2pool
3242,3907441,36,5419,4669702,ethermine
3243,3907442,42,5315,4704637,ethermine
3244,3907443,2,1285,284482,f2pool
3245,3907444,1,739,40910,f2pool
3246,3907445,38,5438,4682327,Coinotron
3247,3907446,31,4137,4593425,poolgpu
3248,3907447,41,5210,4634584,ethfans.org
3249,3907448,0,520,0,miningpoolhub_1
3250,3907449,40,5598,4589855,ethfans.org
3251,3907450,39,5026,4576446,ethermine
3252,3907451,40,5416,4664746,ethfans.org
3253,3907452,206,23823,4678031,ethermine
3254,3907453,9,1744,611575,f2pool
3255,3907454,2,757,81000,f2pool
3256,3907455,38,4930,4634610,C0ea08A2d
3257,3907456,44,5942,4705323,Nanopool
3258,3907457,43,5469,4628845,DwarfPool1
3259,3907458,71,8512,1601149,ethermine
3260,3907459,41,5255,4652300,Nanopool
3261,3907460,41,5213,4668624,Nanopool
3262,3907461,33,4579,4690491,miningpoolhub_1
3263,3907462,42,5308,4632559,miningpoolhub_1
3264,3907463,37,5381,4570905,C0ea08A2d
3265,3907464,41,5368,4591979,Nanopool
3266,3907465,43,5523,4699100,Ethpool_2
3267,3907466,39,5497,4700559,ethermine
3268,3907467,126,14745,2853848,ethermine
3269,3907468,38,4901,4688541,miningpoolhub_1
3270,3907469,46,5822,4708150,ethfans.org
3271,3907470,40,5858,4706243,ethfans.org
3272,3907471,44,5573,4601668,C0ea08A2d
3273,3907472,36,5708,4633453,DwarfPool1
3274,3907473,38,4916,4671221,miningpoolhub_1
3275,3907474,43,6343,4696018,ethfans.org
3276,3907475,4,1070,118846,f2pool
3277,3907476,4,979,201000,f2pool
3278,3907477,0,533,0,f2pool
3279,3907478,210,25341,4703027,Ethpool_2
3280,3907479,36,7727,4699966,Nanopool
3281,3907480,37,4897,4701724,Nanopool
3282,3907481,1,649,21000,f2pool
3283,3907482,38,5199,4680853,Coinotron
3284,3907483,35,5185,4710949,Nanopool
3285,3907484,22,3318,4614226,ethfans.org
3286,3907485,33,4336,4672007,ethermine
3287,3907486,43,5515,4682444,DwarfPool1
3288,3907487,41,5157,4667719,C0ea08A2d
3289,3907488,40,5170,4687187,9633814
3290,3907489,4,985,162000,f2pool
3291,3907490,0,533,0,f2pool
3292,3907491,43,5724,4587572,ethermine
3293,3907492,0,520,0,miningpoolhub_1
3294,3907493,0,533,0,f2pool
3295,3907494,55,6891,4697708,a4aaf1d
3296,3907495,0,533,0,f2pool
3297,3907496,145,16804,3211867,ethermine
3298,3907497,40,5146,4710393,Nanopool
3299,3907498,37,5346,4687846,ethermine
3300,3907499,39,4957,4593370,miningpoolhub_1
3301,3907500,67,8024,1488716,ethermine
3302,3907501,3,873,102000,f2pool
3303,3907502,0,533,0,f2pool
3304,3907503,0,533,0,f2pool
3305,3907504,48,6146,4691480,Nanopool
3306,3907505,22,3033,4684397,9633814
3307,3907506,0,520,0,miningpoolhub_1
3308,3907507,45,5849,4695253,DwarfPool1
3309,3907508,44,5599,4695664,f46cb
3310,3907509,37,4904,4679447,C0ea08A2d
3311,3907510,52,6388,4699740,a4aaf1d
3312,3907511,42,5313,4696439,ethermine
3313,3907512,1,646,21000,f2pool
3314,3907513,42,5451,4688140,miningpoolhub_1
3315,3907514,38,4933,4645818,C0ea08A2d
3316,3907515,0,520,0,miningpoolhub_1
3317,3907516,36,4596,4667674,Coinotron
3318,3907517,35,12704,3416546,f2pool
3319,3907518,42,5303,4647451,Nanopool
3320,3907519,26,3578,4614827,ethfans.org
3321,3907520,39,4987,4624184,Nanopool
3322,3907521,159,18927,3529821,ethermine
3323,3907522,40,5127,4660958,ethermine
3324,3907523,0,520,0,miningpoolhub_1
3325,3907524,20,2873,4705595,ethermine
3326,3907525,3,871,63000,f2pool
3327,3907526,0,520,0,miningpoolhub_1
3328,3907527,206,23686,4677271,ethermine
3329,3907528,91,19308,4632871,f2pool
3332,3907529,35,4865,4661441,bitclubpool
3333,3907530,2,762,42000,f2pool
3334,3907531,85,10367,4665369,ethermine
3335,3907532,0,533,0,f2pool
3336,3907533,55,6731,1240615,ethermine
3337,3907534,1,707,37329,f2pool
3338,3907535,34,4414,4709795,ethermine
3339,3907536,1,707,52265,f2pool
3340,3907537,45,5718,4698260,ethfans.org
3341,3907538,34,4460,4636465,bitclubpool
3342,3907539,34,4438,4624947,Coinotron
3343,3907540,42,5621,4705070,ethermine
3344,3907541,0,533,0,f2pool
3345,3907542,91,10795,2029350,ethermine
3346,3907543,4,1049,115265,f2pool
3351,3907544,34,5189,4664094,DwarfPool1
3352,3907545,17,2483,4708049,Nanopool
3353,3907546,63,7546,1396705,ethermine
3355,3907547,9,1603,201296,ethermine
3356,3907548,16,2341,336000,f2pool
3357,3907549,29,4020,4699691,ethermine
3358,3907550,3,1025,113791,f2pool
3359,3907551,2,759,81000,f2pool
3363,3907552,44,5616,4705673,Nanopool
3368,3907553,212,24952,4663430,ethermine
3376,3907554,207,24120,4640318,f2pool
3381,3907555,40,5182,4706188,Ethpool_2
3382,3907556,35,4534,4704694,ethfans.org
3383,3907557,39,5210,4629655,miningpoolhub_1
3384,3907558,33,4350,4685550,miningpoolhub_1
3385,3907559,8,1524,228814,f2pool
3386,3907560,0,533,0,f2pool
3387,3907561,41,5408,4689599,DwarfPool1
3388,3907562,30,4181,4706362,DwarfPool1
3389,3907563,38,5038,4620539,Nanopool
3390,3907564,37,4944,4708112,ethfans.org
3391,3907565,11,1833,992846,C0ea08A2d
3392,3907566,0,520,0,miningpoolhub_1
3393,3907567,37,5108,4552812,ethfans.org
3394,3907568,35,4791,4626263,Ethpool_2
3395,3907569,22,3032,4575246,Nanopool
3397,3907570,38,4890,4529262,miningpoolhub_1
3398,3907571,41,5331,4689378,miningpoolhub_1
3399,3907572,17,2869,458331,f2pool
3400,3907573,0,520,0,miningpoolhub_1
3403,3907574,214,24665,4666238,ethermine
3408,3907575,207,24131,4620465,f2pool
3411,3907576,0,533,0,f2pool
3412,3907577,71,8628,1610226,ethermine
3417,3907578,18,2678,4692419,ethfans.org
3418,3907579,38,4983,4710336,Nanopool
3422,3907580,32,4230,4694561,Nanopool
3423,3907581,42,5409,4632395,DwarfPool1
3424,3907582,28,4034,4702314,ethfans.org
3428,3907583,1,646,60000,f2pool
3431,3907584,40,5245,4627634,C0ea08A2d
3432,3907585,113,13335,2504472,ethermine
3433,3907586,2,761,81000,f2pool
3434,3907587,37,5189,4685965,miningpoolhub_1
3438,3907588,34,4411,4653129,Nanopool
3440,3907589,4,997,420085,f2pool
3441,3907590,46,5848,4629729,C0ea08A2d
3442,3907591,40,5187,4705983,Nanopool
3445,3907592,39,4963,4589910,ethfans.org
3450,3907593,41,5414,4710676,Nanopool
3451,3907594,39,5120,4679692,ethfans.org
3452,3907595,125,15171,3037633,f2pool
3469,3907596,0,533,0,f2pool
3470,3907597,42,5318,4640126,DwarfPool1
3473,3907598,33,4812,4641099,Ethpool_2
3478,3907599,41,5352,4638085,DwarfPool1
3701,3907600,45,6003,4693677,DwarfPool1
3702,3907601,40,5090,4709384,Nanopool
