X,block_number,block_transaction_count,block_size,block_gas_used,miners_label
2391,3906490,2,758,81000,f2pool
2392,3906491,1,646,60000,f2pool
2393,3906492,54,6660,4666354,ethermine
2394,3906493,47,6068,4687514,Coinotron
2395,3906494,39,5607,4700794,ethermine
2396,3906495,0,527,0,DwarfPool1
2397,3906496,41,5210,4611437,miningpoolhub_1
2398,3906497,44,5577,4620086,ethermine
2399,3906498,46,5748,4670628,ethermine
2408,3906499,0,533,0,f2pool
2601,3906500,44,5624,4637674,ethfans.org
2602,3906501,43,5456,4556373,ethermine
2603,3906502,2,1291,81000,f2pool
2604,3906503,44,5717,4656989,ethfans.org
2605,3906504,0,533,0,f2pool
2606,3906505,54,6790,4687458,Ethpool_2
2607,3906506,22,3091,4637335,miningpoolhub_1
2608,3906507,37,4737,4619166,ethfans.org
2609,3906508,14,2223,1105414,f2pool
2610,3906509,40,5246,4701924,ethermine
2611,3906510,7,1327,4696125,bitclubpool
2612,3906511,33,4300,4582918,ethermine
2613,3906512,58,7303,4628638,ethermine
2614,3906513,41,5248,4703139,miningpoolhub_1
2615,3906514,49,6176,4703267,ethfans.org
2616,3906515,42,5383,4590956,Nanopool
2617,3906516,38,4972,4607882,ethermine
2618,3906517,42,5415,4583448,C0ea08A2d
2619,3906518,46,5767,4667992,ethermine
2620,3906519,43,5393,4685931,miningpoolhub_1
2621,3906520,38,4873,4559288,ethermine
2622,3906521,0,527,0,DwarfPool1
2623,3906522,8,1483,281329,f2pool
2624,3906523,46,5862,4705978,Ethpool_2
2625,3906524,63,8486,4704623,ethfans.org
2626,3906525,44,5727,4702092,Ethpool_2
2627,3906526,49,7143,4610437,Ethpool_2
2628,3906527,71,9563,4695256,ethermine
2629,3906528,0,533,0,f2pool
2630,3906529,38,5226,4611275,ethermine
2631,3906530,39,5112,4539392,miningpoolhub_1
2632,3906531,0,527,0,DwarfPool1
2633,3906532,46,5823,4695533,miningpoolhub_1
2634,3906533,5,1152,417265,f2pool
2635,3906534,44,5864,4585101,miningpoolhub_1
2636,3906535,42,5626,4621282,Nanopool
2637,3906536,1,646,60000,f2pool
2638,3906537,48,6143,4608319,ethermine
2639,3906538,45,6035,4617951,Coinotron
2640,3906539,52,6792,4573940,Nanopool
2641,3906540,0,533,0,f2pool
2642,3906541,43,5707,4616826,Nanopool
2643,3906542,5,1285,226836,f2pool
2644,3906543,0,533,0,f2pool
2645,3906544,50,6990,4710246,ethfans.org
2646,3906545,38,5007,4619744,ethermine
2647,3906546,0,533,0,f2pool
2648,3906547,0,533,0,f2pool
2649,3906548,36,4781,4616180,C0ea08A2d
2650,3906549,54,6780,4587851,ethermine
2651,3906550,46,6117,4699241,ethermine
2652,3906551,0,527,0,DwarfPool1
2653,3906552,1,647,60000,f2pool
2654,3906553,2,1350,73329,f2pool
2655,3906554,51,6529,4699102,ethermine
2656,3906555,23,3329,4688453,ethfans.org
2657,3906556,52,6645,4708122,Nanopool
2658,3906557,0,527,0,DwarfPool1
2659,3906558,43,5458,4574035,ethermine
2660,3906559,25,10538,4682520,ethermine
2661,3906560,45,5643,4706010,ethfans.org
2662,3906561,3,874,102000,f2pool
2663,3906562,3,872,141000,f2pool
2664,3906563,40,5227,4685054,miningpoolhub_1
2665,3906564,33,4356,4675881,ethermine
2666,3906565,40,5069,4702377,Nanopool
2667,3906566,44,5492,4699871,miningpoolhub_1
2668,3906567,41,5261,4589198,ethfans.org
2669,3906568,43,5505,4697929,ethermine
2670,3906569,41,5192,4701994,Ethpool_2
2671,3906570,214,24389,4706617,ethermine
2672,3906571,0,1056,0,DwarfPool1
2673,3906572,0,527,0,DwarfPool1
2674,3906573,34,4642,4694856,ethfans.org
2675,3906574,44,6149,4696846,ethfans.org
2676,3906575,27,3689,4699149,Ethpool_2
2677,3906576,40,5134,4706654,ethfans.org
2678,3906577,55,7056,4710991,ethermine
2679,3906578,0,527,0,DwarfPool1
2680,3906579,43,5639,4610282,Coinotron
2681,3906580,1,647,21000,f2pool
2682,3906581,44,5763,4689070,ethermine
2683,3906582,224,25113,4712111,ethermine
2684,3906583,220,24672,4698337,ethermine
2685,3906584,31,4373,4582598,C0ea08A2d
2686,3906585,31,4378,4708156,ethfans.org
2687,3906586,23,3109,4710028,Nanopool
2688,3906587,7,13993,4711559,ethermine
2689,3906588,51,6881,4699453,Coinotron
2690,3906589,1,646,60000,f2pool
2691,3906590,44,5609,4705686,ethfans.org
2692,3906591,44,5875,4607339,ethfans.org
2693,3906592,38,4908,4704876,bitclubpool
2694,3906593,41,5798,4668850,miningpoolhub_1
2695,3906594,1,648,200000,f2pool
2696,3906595,220,24700,4689816,ethermine
2697,3906596,47,6541,4703476,miningpoolhub_1
2698,3906597,22,3072,4668616,ethfans.org
2699,3906598,40,5203,4667028,ethermine
2700,3906599,7,1316,225000,f2pool
2701,3906600,53,7290,4652618,bitclubpool
2702,3906601,105,20638,4692603,ethermine
2703,3906602,44,5741,4706128,Nanopool
2704,3906603,218,24664,4711431,ethermine
2705,3906604,19,3384,831504,f2pool
2706,3906605,182,22552,4699173,ethermine
