X,block_number,block_transaction_count,block_size,block_gas_used,block_miner
1834,3905910,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1859,3905826,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1880,3905932,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1924,3905629,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1944,3906017,43,5708,4582363,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1961,3905637,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1964,3905640,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1980,3905850,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1998,3905647,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2011,3906030,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2012,3906031,0,1057,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2022,3906036,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2024,3906038,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2033,3905656,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2050,3905974,0,1051,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2092,3905673,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2114,3905887,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2132,3905893,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2135,3905997,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2137,3905999,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2155,3906064,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2198,3906097,0,1054,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2213,3906112,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2233,3906132,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2243,3906142,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2274,3906173,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2292,3906191,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2298,3906197,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2300,3906199,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2309,3906408,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2316,3906415,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2333,3906432,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2337,3906436,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2367,3906466,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2389,3906488,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2396,3906495,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2405,3906205,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2422,3906221,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2467,3906317,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2480,3906254,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2499,3906335,1,640,21000,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2501,3906337,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2511,3906264,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2513,3906266,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2514,3906267,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2538,3906279,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2578,3906377,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2593,3906392,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2622,3906521,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2632,3906531,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2652,3906551,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2658,3906557,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2672,3906571,0,1056,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2673,3906572,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2679,3906578,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2721,3906620,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2728,3906627,1,641,21000,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2734,3906633,216,25109,4701571,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2756,3906648,208,23526,4669521,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2758,3906649,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2760,3906651,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2762,3906653,50,8820,4680164,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2777,3906900,35,4616,4629737,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2791,3906906,44,5607,4630856,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2807,3906910,45,5763,4700916,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2831,3906917,41,5217,4567357,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2839,3906826,47,5979,4693494,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2845,3906716,43,7246,4698263,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2852,3906831,44,5572,4704385,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2864,3906920,46,6878,4700868,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2866,3907016,27,3639,4695231,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2907,3907029,46,5918,4694959,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2912,3906931,49,6489,4698404,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2939,3906680,36,6495,4686348,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2949,3906742,216,25092,4702665,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2954,3906940,85,10597,4708316,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2963,3906941,46,6127,4701389,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2977,3906946,29,3904,4700805,0x2a65aca4d5fc5b5c859090a6c34d164135398226
2999,3906694,38,4932,4693994,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3032,3907046,39,4992,4632072,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3033,3907047,49,6333,4614629,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3053,3906874,41,5668,4609608,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3086,3906885,36,4776,4699492,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3092,3906886,41,5230,4594785,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3116,3906979,31,5331,4697447,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3128,3906986,51,6456,4711812,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3144,3906783,51,7176,4706953,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3161,3906786,215,24986,4704445,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3162,3907078,33,4426,4660861,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3163,3907079,54,6794,4697999,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3180,3906791,0,527,0,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3200,3907099,36,4623,4625678,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3212,3907411,38,5068,4616911,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3238,3907437,22,3156,4606618,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3258,3907457,43,5469,4628845,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3273,3907472,36,5708,4633453,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3287,3907486,43,5515,4682444,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3308,3907507,45,5849,4695253,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3351,3907544,34,5189,4664094,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3369,3907214,29,4504,4708247,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3387,3907561,41,5408,4689599,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3388,3907562,30,4181,4706362,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3414,3907229,19,2740,4707258,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3423,3907581,42,5409,4632395,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3470,3907597,42,5318,4640126,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3478,3907599,41,5352,4638085,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3486,3907327,34,4910,4585548,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3487,3907258,37,5641,4619775,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3532,3907344,40,5439,4695483,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3536,3907286,39,4935,4695760,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3540,3907104,39,6012,4711489,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3550,3907349,37,5066,4691862,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3565,3907355,40,5104,4699702,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3584,3907364,39,5032,4669092,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3593,3907369,34,4389,4708360,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3597,3907373,41,5171,4656285,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3612,3907384,40,5175,4665401,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3614,3907127,27,3854,4711216,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3620,3907130,34,4430,4679288,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3623,3907389,30,3957,4592874,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3626,3907392,41,5696,4595985,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3648,3907147,40,5230,4594965,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3674,3907173,40,6329,4693744,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3677,3907176,50,6281,4689153,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3682,3907181,40,5180,4705177,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3701,3907600,45,6003,4693677,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3736,3907635,76,12218,4709457,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3737,3907636,38,4997,4701225,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3743,3907642,39,5121,4646698,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3758,3907657,33,5149,4697484,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3773,3907672,9,1610,4671851,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3817,3907716,41,5273,4700100,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3854,3907753,48,6970,4703339,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3863,3907762,52,7846,4711888,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3885,3907784,41,6313,4704660,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3901,3907800,39,5210,4705400,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3906,3907805,33,4493,4660885,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3926,3907825,46,6361,2625134,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3939,3907838,41,5293,4684723,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3949,3907848,50,6261,4251959,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3952,3907851,61,8653,4274829,0x2a65aca4d5fc5b5c859090a6c34d164135398226
3988,3907870,34,5325,4653983,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4002,3907876,66,8330,4630373,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4011,3907880,45,6278,4707236,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4012,3907881,36,9844,4696013,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4039,3907946,37,5052,4680275,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4043,3907947,52,6656,4711243,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4049,3907897,29,4144,4690211,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4054,3907899,41,5763,4694714,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4074,3907973,20,2917,4573457,0x2a65aca4d5fc5b5c859090a6c34d164135398226
4105,3908004,39,5494,4702978,0x2a65aca4d5fc5b5c859090a6c34d164135398226
1600,3905299,90,15434,4698154,0x3f4e874d4218ce28709524e05bcbf946b7d8a1b8
145,3904044,19,2644,4687678,0x49deb42acbbce35aa74f6df0be77162463658081
787,3904711,44,6551,4665166,0x49deb42acbbce35aa74f6df0be77162463658081
853,3904825,88,11622,4654180,0x49deb42acbbce35aa74f6df0be77162463658081
1007,3904897,9,1548,4694510,0x49deb42acbbce35aa74f6df0be77162463658081
1048,3904947,121,14796,4688278,0x49deb42acbbce35aa74f6df0be77162463658081
1698,3905597,39,5130,4635901,0x49deb42acbbce35aa74f6df0be77162463658081
2164,3906069,32,4281,4620700,0x49deb42acbbce35aa74f6df0be77162463658081
2348,3906447,38,4904,4603332,0x49deb42acbbce35aa74f6df0be77162463658081
3354,3907206,37,4951,4689926,0x49deb42acbbce35aa74f6df0be77162463658081
3552,3907293,40,5107,4671503,0x49deb42acbbce35aa74f6df0be77162463658081
28,3903927,17,2490,4692183,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
34,3903933,56,7395,4704325,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
39,3903938,27,3659,4709469,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
62,3903961,55,6747,4692642,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
137,3904036,30,3858,4705167,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
139,3904038,15,2191,4710767,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
142,3904041,42,5626,4697941,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
157,3904056,128,15700,4703112,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
188,3904203,55,7703,4676896,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
190,3904205,3,868,4684660,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
199,3904211,82,11118,4695732,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
267,3904258,76,11424,4700354,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
268,3904408,62,7654,4689545,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
273,3904259,35,4760,4693755,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
277,3904414,76,10201,4704821,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
294,3904423,58,7309,4695627,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
337,3904295,39,5194,4668773,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
381,3904476,5,1091,4694418,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
452,3904351,10,2176,4706740,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
475,3904104,38,6884,4707861,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
484,3904108,69,8830,4707836,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
486,3904109,40,5764,4709610,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
599,3904198,47,13569,4703299,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
602,3904501,48,5984,4586380,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
657,3904625,74,9278,4562043,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
694,3904547,29,3784,4541453,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
701,3904652,65,8197,4587863,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
707,3904551,68,9164,4634080,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
792,3904713,21,3356,2157763,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
849,3904597,53,7000,4597485,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
856,3904599,46,6230,4624469,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
952,3904873,37,5179,3041407,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
956,3904877,41,5331,4336328,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
981,3904792,47,6332,4632263,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1025,3904924,68,8524,4696869,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1058,3904957,65,8674,4615577,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1157,3905056,23,3271,4704805,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1219,3905118,40,5089,4649134,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1325,3905428,50,6656,4585230,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1343,3905346,124,14766,4705466,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1573,3905272,50,7201,4638639,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1574,3905273,3,870,4695932,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1576,3905275,71,8494,4668942,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1592,3905291,52,6958,4619534,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1605,3905504,43,7664,4688079,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1657,3905556,37,4807,4576700,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1661,3905560,27,3658,4562556,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1717,3905716,45,5990,4686057,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1767,3905766,24,3198,4697987,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1830,3905907,16,2308,4704009,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1862,3905829,64,7613,4661886,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1864,3905609,41,5243,4550242,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
1904,3905624,35,4883,4647073,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2000,3905965,53,6592,4641069,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2051,3905975,40,5175,4642335,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2061,3905978,3,1216,4590888,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2079,3905873,24,3278,4541513,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2133,3905894,33,4187,4706936,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2159,3905691,58,7498,4694014,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2190,3906089,37,4746,4695125,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2195,3906094,36,4566,4668289,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2244,3906143,32,4219,4641941,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2248,3906147,24,3394,4620062,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2276,3906175,22,3047,4691355,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2351,3906450,43,6199,4658700,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2384,3906483,39,5501,4587312,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2411,3906210,41,5188,4688069,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2420,3906219,37,4770,4659141,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2434,3906233,37,4702,4553627,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2443,3906304,33,4313,4671184,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2445,3906239,36,4761,4684829,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2464,3906316,21,2859,4699982,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2481,3906255,38,4955,4705398,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2490,3906258,37,4836,4683168,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2520,3906348,47,5984,4580067,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2527,3906350,37,4890,4701273,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2606,3906505,54,6790,4687458,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2624,3906523,46,5862,4705978,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2626,3906525,44,5727,4702092,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2627,3906526,49,7143,4610437,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2670,3906569,41,5192,4701994,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2676,3906575,27,3689,4699149,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2715,3906614,205,23513,4696608,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2719,3906618,43,5501,4665221,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2882,3906923,45,6598,4707686,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2895,3906727,35,4560,4678247,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2928,3906734,47,6885,4695720,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2934,3906936,34,5385,4674165,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2944,3906740,46,6003,4700910,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2969,3906745,50,7319,4699085,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
2996,3906859,44,6446,4640995,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3008,3906695,41,6092,4580828,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3031,3906870,43,5847,4698654,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3058,3906877,40,6104,4638568,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3088,3906974,38,5795,4618129,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3139,3906781,41,5168,4641250,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3223,3907422,34,4409,4607815,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3231,3907430,39,5054,4691769,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3266,3907465,43,5523,4699100,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3279,3907478,210,25341,4703027,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3330,3907200,26,3544,4696644,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3381,3907555,40,5182,4706188,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3394,3907568,35,4791,4626263,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3425,3907233,38,4903,4672538,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3436,3907310,40,5105,4581647,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3456,3907243,26,3465,4697903,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3464,3907322,37,4902,4648545,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3473,3907598,33,4812,4641099,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3496,3907261,42,6318,4674164,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3595,3907371,42,5663,4692016,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3642,3907399,42,5414,4575836,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3660,3907159,37,4817,4680055,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3663,3907162,31,4048,4704292,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3724,3907623,38,4937,4610092,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3740,3907639,48,6364,4699136,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3756,3907655,70,11727,4574402,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3786,3907685,35,4603,4701480,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3802,3907701,42,5889,4709681,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3821,3907720,55,8461,4642165,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3874,3907773,17,2673,4544948,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3941,3907840,44,6062,4536926,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3975,3907910,35,5155,4709628,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
3989,3907917,44,5971,4707491,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
4026,3907937,48,6134,4010157,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
4101,3908000,70,9473,4577437,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
4119,3908018,60,8168,4569182,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01
19,3903918,39,5531,4702739,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
22,3903921,38,4741,4696084,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
26,3903925,28,3658,4700561,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
38,3903937,32,4617,4706710,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
73,3903972,26,4613,4678303,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
80,3903979,36,5673,4709849,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
82,3903981,38,5242,4698769,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
103,3904002,35,4880,4711349,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
104,3904003,1,645,4707700,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
106,3904005,37,4844,4697860,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
111,3904010,30,4515,4616048,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
118,3904017,9,1540,4706029,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
126,3904025,111,13246,4696118,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
129,3904028,1,646,4710000,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
144,3904043,48,5917,4691950,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
169,3904068,42,5666,4702963,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
175,3904074,95,11464,4696862,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
184,3904082,55,7195,4707636,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
192,3904207,66,8416,4693438,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
193,3904208,47,5890,4699817,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
233,3904095,57,7056,4692724,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
249,3904248,61,7668,4654073,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
275,3904261,125,14886,4707470,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
333,3904292,65,8147,4598437,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
338,3904441,112,14124,4653345,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5
