X,block_number,block_transaction_count,block_size,block_gas_used,block_miner
2357,3906456,39,5795,4608367,0x1e9939daaad6924ad004c2560e90804164900341
2361,3906460,42,5324,4702850,0x1e9939daaad6924ad004c2560e90804164900341
2375,3906474,34,4523,4603454,0x1e9939daaad6924ad004c2560e90804164900341
2381,3906480,42,5309,4702948,0x1e9939daaad6924ad004c2560e90804164900341
2418,3906217,41,5265,4704566,0x1e9939daaad6924ad004c2560e90804164900341
2426,3906225,26,3729,4700368,0x1e9939daaad6924ad004c2560e90804164900341
2429,3906228,45,5665,4641269,0x1e9939daaad6924ad004c2560e90804164900341
2435,3906300,38,5233,4679314,0x1e9939daaad6924ad004c2560e90804164900341
2437,3906302,44,5788,4615190,0x1e9939daaad6924ad004c2560e90804164900341
2440,3906236,41,5284,4704008,0x1e9939daaad6924ad004c2560e90804164900341
2447,3906305,41,5319,4593383,0x1e9939daaad6924ad004c2560e90804164900341
2451,3906242,32,4158,4641176,0x1e9939daaad6924ad004c2560e90804164900341
2452,3906243,25,3418,4692356,0x1e9939daaad6924ad004c2560e90804164900341
2466,3906248,36,4616,4628282,0x1e9939daaad6924ad004c2560e90804164900341
2478,3906323,19,2693,4676367,0x1e9939daaad6924ad004c2560e90804164900341
2482,3906256,41,5389,4619734,0x1e9939daaad6924ad004c2560e90804164900341
2485,3906326,36,4722,4708678,0x1e9939daaad6924ad004c2560e90804164900341
2500,3906336,34,4645,4666329,0x1e9939daaad6924ad004c2560e90804164900341
2509,3906345,39,5200,4698588,0x1e9939daaad6924ad004c2560e90804164900341
2531,3906276,49,6541,4696832,0x1e9939daaad6924ad004c2560e90804164900341
2532,3906354,39,5214,4619879,0x1e9939daaad6924ad004c2560e90804164900341
2534,3906277,52,6639,4598036,0x1e9939daaad6924ad004c2560e90804164900341
2562,3906368,39,5192,4659858,0x1e9939daaad6924ad004c2560e90804164900341
2567,3906293,26,3440,4700850,0x1e9939daaad6924ad004c2560e90804164900341
2573,3906296,42,5460,4649813,0x1e9939daaad6924ad004c2560e90804164900341
2574,3906297,38,4829,4659178,0x1e9939daaad6924ad004c2560e90804164900341
2583,3906382,38,5271,4568040,0x1e9939daaad6924ad004c2560e90804164900341
2592,3906391,32,4749,4663466,0x1e9939daaad6924ad004c2560e90804164900341
2601,3906500,44,5624,4637674,0x1e9939daaad6924ad004c2560e90804164900341
2604,3906503,44,5717,4656989,0x1e9939daaad6924ad004c2560e90804164900341
2608,3906507,37,4737,4619166,0x1e9939daaad6924ad004c2560e90804164900341
2615,3906514,49,6176,4703267,0x1e9939daaad6924ad004c2560e90804164900341
2625,3906524,63,8486,4704623,0x1e9939daaad6924ad004c2560e90804164900341
2645,3906544,50,6990,4710246,0x1e9939daaad6924ad004c2560e90804164900341
2656,3906555,23,3329,4688453,0x1e9939daaad6924ad004c2560e90804164900341
2661,3906560,45,5643,4706010,0x1e9939daaad6924ad004c2560e90804164900341
2668,3906567,41,5261,4589198,0x1e9939daaad6924ad004c2560e90804164900341
2674,3906573,34,4642,4694856,0x1e9939daaad6924ad004c2560e90804164900341
2675,3906574,44,6149,4696846,0x1e9939daaad6924ad004c2560e90804164900341
2677,3906576,40,5134,4706654,0x1e9939daaad6924ad004c2560e90804164900341
